,title,description,link,published
0,เครียดมากเกินไปกับเรื่องเรียนทำยังไงดี,เรื่องก็คือเราเป็นคนซีเรียสกับเรื่องเรียนมากแค่คะแนนสองคะแนนก็เฟลแบบสุด ๆ ล่าสุดคืองานเต็ม 20 เราได้ 14 คือมันก็ไม่ได้น้อยขนาดนั้นรู้อยู่แก่ใจ แต่เราอาจจะคาดหวังในตัวเองมากไปบวกกับช่วงนี้รู้สึกเครียดเ,https://pantip.com/topic/40522092,"Mon, 15 Feb 2021 14:34:00 +0700"
1,การกู้ข้อมูลใน harddisk ทางร้านรับกู้มีสิทธิ์เห็นข้อมูลลูกค้าในระหว่างขั้นตอนการกู้มั้ยครับ,ขอสอบถามผู้รู้ครับ อันนี้ผมไม่ทราบจริงๆ เป็นคอมของเพื่อน แต่เพื่อนบอกว่า ในฮาร์ดดิสลูกเก่าที่โดนลง windows ทับไปมีข้อมูลใน drive D ที่เป็นข้อมูลส่วนตัวที่ไม่อยากให้เห็น แต่ทางร้านได้ทำการกู้ออกมาแล้วแ,https://pantip.com/topic/40522091,"Mon, 15 Feb 2021 14:33:47 +0700"
2,หาสวิงอาร์มแต่งใส่รถ honda supercub c110 2018,หาสวิงอาร์มไม่ยืดทนๆยี่ห้อดีๆใส่honda supercub c110 2018 กะจะลองซื้อของอาร์ม มิเนียมของ nui racing project มาใส่แต่ก็กลัวมันจะเบาอย่างเดียวแต่ไม่ทน อยากใด้สวิงอาร์มที่ทนเท่าของเดิมโรงงานแต่น้ำหนักเบาห,https://pantip.com/topic/40522137,"Mon, 15 Feb 2021 14:52:57 +0700"
3,หาสวิงอาร์มแต่งใส่รถ honda supercub c110 ปี2018,หาสวิงอาร์มไม่ยืดทนๆยี่ห้อดีๆใส่honda supercub c110 ปี2018 กะจะลองซื้อของอาร์ม มิเนียมของ nui racing project มาใส่แต่ก็กลัวมันจะเบาอย่างเดียวแต่ไม่ทน อยากใด้สวิงอาร์มที่ทนเท่าของเดิมโรงงานแต่น้ำหนักเบ,https://pantip.com/topic/40522137,"Mon, 15 Feb 2021 14:52:57 +0700"
4,ขอสอบถามหน่อยค่ะเราเป็นสมาชิกกสิกรอยุ่แต่ทำไม่เปิดบันชีลายบีเคไ??ต้องทำยังไงค่ะช่วยแนะนำหน่อยค่ะ,,https://pantip.com/topic/40522096,"Mon, 15 Feb 2021 14:35:23 +0700"
5,จะต้องทำยังไงดี,เรามีแฟนอยู่ไกลแต่ก่อนเราอยู่ด้วยกันนะ แล้วเราต้องมาเรียนที่ไกลเลยทำให้เราห่างกัน แต่ไม่นานเราก็แอบจะมีใจให้คนอื่น ครั้งนี้หนักที่สุดเพราะอยู่ด้วยกันเราแค่ไปคุยกับคนอื่นแต่แฟนเราจับได้ตลอด แต่ตอนนี้เร,https://pantip.com/topic/40522095,"Mon, 15 Feb 2021 14:34:46 +0700"
6,ทะเลลวง คืนนี้เเพ็คกระเป๋าไปงานแต่งที่เกาะนับดาวกันดีกว่า,CR: FB.Ch7HD Drama Society,https://pantip.com/topic/40522094,"Mon, 15 Feb 2021 14:34:24 +0700"
7,บอกความหมานของ ไบออส  หน่อยค่ะ🙏🙏,พวก product information Standard cmos features แบบนี้อ่ะค่ะ มี12ตัว หน้าที่คืออะไรคะ ทั้ง12ตัวเลย,https://pantip.com/topic/40522093,"Mon, 15 Feb 2021 14:34:07 +0700"
8,ขอข้อมูล ป.โท มธ  สถิติ,ขอข้อมูล ป.โท มธสถิติ เช่นค่าเทอม ต้องเตรียมตัวยังไง เกรด ป.ตรี จำเป็นมั้ย เราจบบริหารธุรกิจ ป.ตรีอยากต่อ ป.โท มธ สถิติอยากได้คำแนะนำในการเรียนต่อ ค่าาาา,https://pantip.com/topic/40522146,"Mon, 15 Feb 2021 14:58:33 +0700"
9,เฟอมิโน่ กับ บรูโน่ เฟอนันเดส(ถ้าคุณเป็นโค้ช แล้วทีมกำลังต้องการประตู จะส่งนักเตะคนใดลงมา เพื่อสร้างสรรค์เกมและยิงประตู),,https://pantip.com/topic/40522145,"Mon, 15 Feb 2021 14:58:33 +0700"
10,โอนเงินจากกรุงไทย โอนโดยพร้อมเพย์แต่เงินไม่เข้าธนาคาร กสิกรที่เป็นปลายทาง,วันนี้ผมได้โอนเงินให้เพื่อนโดยพร้อมเพย์ สลิปมี เงินโดนหักไปแล้ว แต่ฝั่งปลายทางเงินยังไม่เข้า รอตั้งแต่12.00-15.00ก็ยังไม่เข้า อยากทราบว่าควรทำยังไงดีครับ?,https://pantip.com/topic/40522144,"Mon, 15 Feb 2021 14:58:15 +0700"
11,ขอยกเลิกประกันที่มาพร้อมบัตรเครดิตktc,อยากทราบวิธียกเลิกประกันที่มาพร้อมบัตรเครดิตktcค่ะ,https://pantip.com/topic/40522143,"Mon, 15 Feb 2021 14:57:40 +0700"
12,โยเกิร์ตดรอป,อยากทราบวิธีทำโยเกิร์ตดรอปแบบที่สามารถทำเกบไว้ได้นานๆโดยไม่ต้องใส่ต็เย็น ใครพอจะรู้รบกวนบอกหย่อยนะคะ😊,https://pantip.com/topic/40522142,"Mon, 15 Feb 2021 14:56:01 +0700"
13,ช่วยตามหาการ์ตูนให้หน่อยค่ะ,คือว่าเคยอ่านการ์ตูนเรื่องนึงในทรศ.เครื่องเก่าค่ะแล้วทรศ.พังจึงต้องซื้อใหม่แต่ดันจำชื่อเรื่องการ์ตูนที่อ่านไม่ได้หาเท่าไหร่ก็ไม่เจออ่ะค่ะเลยอยากจะให้ช่วยหาหน่อยขอร้องล่ะค่ะช่วยหาหน่อยนะคะอยากอ่านมากจร,https://pantip.com/topic/40522141,"Mon, 15 Feb 2021 14:56:00 +0700"
14,แอบชอบรุ่นน้องควรเริ่มต้นยังไงคะ,คือว่าเราแอบชอบรุ่นน้องโรงเรียนตรงข้ามค่ะ เป็นรุ่นน้องปีนึง เห็นน้องมาตั้งแต่น้องอยู่ม.3 จนตอนนี้น้องอยู่ม.5 ตอนนั้นแค่รู้สึกว่าน้องน่ารักดี จนได้รู้ว่าบ้านน้องอยู่ตำบลเดียวกันแล้วเข้าไปเรียนในเมืองเห,https://pantip.com/topic/40522140,"Mon, 15 Feb 2021 14:54:17 +0700"
15,วิธีตบมือข้างเดียวให้ดัง...//มู่ยู่​ ผีปู่ด่า5...ไร​ 😡😡😡😡😡,วิธีตบมือข้างเดียวให้ดัง มันก็มีหลายวิธี​ อย่างตบกระถางต้นไม้​ ตบอนุเสาวรีย์ (แว่วๆว่าจะไปตบภูเขาทอง😁)​ แต่คาดว่าวิธีนี้คงดังไม่เท่าไหร่ เลยเปลี่ยนมาใช้วิธี ตบกบาลเพื่อนข้างๆ นอกจากเสียง​ &quot;เพียะ!,https://pantip.com/topic/40522139,"Mon, 15 Feb 2021 14:53:24 +0700"
16,"DELTA, OR ปั่นกันกระจุย ช่วงนี้ก็ทำเป็นเอาหูไปนาเอาตาไปไร่ก่อนนะครับ",,https://pantip.com/topic/40522138,"Mon, 15 Feb 2021 14:53:09 +0700"
17,หาสวิงอาร์มแต่งใส่รถ honda supercub c110 ปี2018,หาสวิงอาร์มไม่ยืดไม่เจอะทนๆยี่ห้อดีๆใส่honda supercub c110 ปี2018 กะจะลองซื้อของอาร์ม มิเนียมของ nui racing project มาใส่แต่ก็กลัวมันจะเบาอย่างเดียวแต่ไม่ทน อยากใด้สวิงอาร์มที่ทนเท่าของเดิมโรงงานแต่น้,https://pantip.com/topic/40522137,"Mon, 15 Feb 2021 14:52:57 +0700"
18,มหาวิทยาลัยไหน เหมาะกับการทำงานไปเรียนไป ส่งตัวเองเรียนบ้างคะ?,เรากำลังจะจบ ปวช.3 แล้วคะ แล้วอยากเรียนมหาลัยต่อ แล้วจะส่งตัวเองเรียน พึ่งพาตัวเองค่ะ แล้วส่วนตัวเรียนไม่ค่อยเก่งเท่าไหร่แต่พอเอาตัวรอดได้ มหาลัยไหนที่เหมาะบ้างคะ แล้วเายนจบไปมีงานทำแน่นอนค่ะ,https://pantip.com/topic/40522136,"Mon, 15 Feb 2021 14:52:53 +0700"
19,แป้นพิมโทรศัพท์vivo s1 น้องผมเผลอกดอะไรสักอย่างจนตอนนี้แป้นพิมภาษาอังกฤษเวลาพิมพ์ตัวอักษณสักตัวมันก็จะขึ้นมาเป็นGuide,คอยบอกว่าคำไหนเขียนยังไง บลาๆๆซึ่งผมไม่ต้องการแล้วตอนนี้ความเร็วในการพิมผมตกลงไปเยอะมากๆ เพราะไม่คุ้นชินใครพอจะมีวิธีแก้บ้างครับ,https://pantip.com/topic/40522135,"Mon, 15 Feb 2021 14:52:03 +0700"
20,ไข่นกพิราบ ทําเมนูอะไรอร่อยบ้างครับ,สวัสดีครับ ผมพึ่งหัดเขียนกระทู้นี้เป็นกระทู้แรกนะครับ ถ้าเขียนผิดพลาดประการใด ก็ขออภัยมา ณ ทีนี้ด้วยนะครับเข้าเรื่องเลยนะครับ คือว่าที่ระเบียงคอนโดผมมีนกพิราบมาวางไข่ไว้สองฟอง แล้วที่นี้บริเวณที่นกมาว,https://pantip.com/topic/40522134,"Mon, 15 Feb 2021 14:51:29 +0700"
21,คนที่เป็นเป็ด....ในความคิดของคุณเป็นคนยังไงคะ?,สวัสดีค่ะ วันนี้ผลคะแนนออก จขกท.แอบน้อยใจในตนเองที่เหมือนเป็ด เป็ดเป็นคนที่ไม่ใช่เก่งอะไรสุดๆ สักอย่างแต่ปรับตัวทุกสถานการณ์ เปรียบเหมือนตัวจขกท.เลยค่ะ ในวิชาที่เรียนมาไม่มีวิชาอะไรที่เก่งสุดแต่ได้ทุก,https://pantip.com/topic/40522133,"Mon, 15 Feb 2021 14:50:47 +0700"
22,เทพธิดาปลาร้า ep14&15+ดวงใจในมนตรา ep6,,https://pantip.com/topic/40522132,"Mon, 15 Feb 2021 14:50:27 +0700"
23,DVD 3ปีพึ่งถึง,https://www.facebook.com/100044611171432/posts/259648952198809/,https://pantip.com/topic/40522131,"Mon, 15 Feb 2021 14:50:25 +0700"
24,อยากให้ช่อง3 เพิ่มค่ายละคร ที่สามารถทำ ละครจานด่วน ได้ เพราะ ค่ายหลักงานช้า และดาราใหม่ในสังกัดก็มาก ผลงานไม่ทันใจผู้ชม,อยากให้ช่อง3 เพิ่มค่ายละคร ที่สามารถทำ ละครจานด่วน ได้ เพราะ ค่ายหลักงานช้า และดาราใหม่ในสังกัดก็มาก ผลงานไม่ทันใจผู้ชม,https://pantip.com/topic/40522130,"Mon, 15 Feb 2021 14:50:13 +0700"
25,ตามหาเพลงของ seventeen ค่ะ,จำได้ว่าช่วงนึงเคยติดเพลงนี้มาก จำได้แต่ท่อนของซอกมินค่ะ ตึ่งตึงตึ๊ง ตึ่งตึงตึ๊ง ห่ารูห๊าาาาาาาา รูกาาาาา ประมานนี้ค่ะ ใครรู้รบกวนบอกเราหน่อย มันติดอยู่ในหัว;---;,https://pantip.com/topic/40522129,"Mon, 15 Feb 2021 14:50:03 +0700"
26,พึ่งรู้ว่าเหตุการณ์ที่เครื่องบินลงจอดในจีน จากเรื่อง เพิล ฮาเบอร์ เป็นเรื่องจริง ...//////////,นึกว่าเป็นเหตุการณ์แต่งเติมขึ้น เพื่อให้ภาพยนต์มีความสนุก แต่เมื่อดูคลิปแล้ว จึงรู้ว่าเป็นเหตุการณ์จริงเกือบจะ 100% การบินล้ำเข้าไปในเขตประเทศข้าศึก โดยที่ไม่มีเครื่องบินคุ้มกัน และเป็นระยะทางที่ใกลมา,https://pantip.com/topic/40522128,"Mon, 15 Feb 2021 14:50:00 +0700"
27,โน๊ตที่บันทึกไว้ในไอโฟนหายค่ะ,อยู่ดีๆโน้ตใน iphone ก็หายค่ะ กดเข้าไปดูใน icloud.com แล้วค่ะ มันมีอยู่ใน icloud.com แต่จะทำให้มันมาอยู่ในโน๊ตยังไงค่ะ,https://pantip.com/topic/40522127,"Mon, 15 Feb 2021 14:49:24 +0700"
28,ตกเย็น or มีโอกาสเห็นแดงไหม,ใครซื้อ 36.50,https://pantip.com/topic/40522126,"Mon, 15 Feb 2021 14:49:10 +0700"
29,พนง.ธนาคาร​บอกแบบนี้หมายถึงมาถ่ายรูปที่ร้านรึถ่ายรูปแจ้งผล,ทำ​เรื่อง​ยื่นกุ้กับธนาคาร​ไว้แล้ว เราไลน์​ไปถามเขาตอบแบบนี้ความหมายคือถ่ายรูปผลให้ดูรึว่ามาถ่ายรูปร้านเราค่ะ,https://pantip.com/topic/40522125,"Mon, 15 Feb 2021 14:49:04 +0700"
30,จังหวัดสมุทรปราการ ยังคงสั่งให้ปิดสถานที่ เช่น สวนน้ำ สวนสนุก และ สระว่ายน้ำ ใช่หรือไม่ ?,ผู้รู้ ตอบหน่อยครับ,https://pantip.com/topic/40522124,"Mon, 15 Feb 2021 14:48:36 +0700"
31,เวลาอยู่กับเพื่อนรู้สึกอึดอัดและรู้สึกว่าเขาเมินควรทำอย่างไรดีคะ?,,https://pantip.com/topic/40522123,"Mon, 15 Feb 2021 14:48:25 +0700"
32,ขอสอบถามเพื่อน ๆ ทำไมเพื่อนเราดู แอคแทคไททันแล้วขำ ดูแล้วหัวเราะ พอดูYugi-oh ภาคต่าง ๆ แล้วเขาซึ้งจนร้องไห้,อิหยังวะ ??? คือพอดูเมะโหดๆ เมะเดือดๆ เช่นก๊อบลินงี้ โคนัน โตเกียวกลู เขาดูไปยิ้มไป บอกตลกเลอะเทอะ [Spoil] คลิกเพื่อดูข้อความที่ซ่อนไว้ แต่พอเขาดูYugi ohเขาร้องไห้หลายฉากมาก ตอนจระเข้ตายพร้อมจิม Gx เข,https://pantip.com/topic/40522122,"Mon, 15 Feb 2021 14:47:48 +0700"
33,"โรงเรียนเตรียมน้อม,เตรียมพัฒ,บดิน,เทพศิริน",ขออนุญาตนะคะ อยากทราบว่าาาา โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า โรงเรียนเตรียมพัฒ โรงเรียนบดิน โรงเรียนเทพศิริน 1.ค่าเทอมราคาเท่าไร 2.เรียนหนักมากๆมั้ย 3.มีสายอะไรบ้างคะ?? 4.มีทุนนักเรียนแลกเปลี่ยนมั้ยย?,https://pantip.com/topic/40522121,"Mon, 15 Feb 2021 14:47:13 +0700"
34,ให้ด้วยความเสน่หา แต่เขาขู่จะไปแจ้งความ,คือ กับคบกับแฟนคนนี้ ได้2-3 สัปดาห์ แต่เขาคลั่งรักเรามาก แล้วเราจะเลิกกับเขา เพราะจะไปทำงานกลางคืน เรามีความจำเป็นต้องใช้เงิน แต่เขาบอกว่า ถ้าเขาเอาเงินให้ สัญญาได้ไหม ว่าจะไม่ไปทำงานกลางคืน แล้วเขาก็,https://pantip.com/topic/40522120,"Mon, 15 Feb 2021 14:47:02 +0700"
35,ปากบอกว่าคิดกับเราเเค่พี่น้อง เเต่การกระทำมันเกินคำว่าพี่น้อง ?????,,https://pantip.com/topic/40522119,"Mon, 15 Feb 2021 14:45:48 +0700"
36,ธนาคารสีน้ำเงินเค้ามีบริการเปิดบันชีไห้ลูกค้าด้วยหรอ?,พอดีมีพนักงานผู้หญิงมาถามเราว่าสนใจเปิดบันชีมั้ยใช้แค่บัตรปปช.อย่างเดียวเดี๋ยวเค้าจะทำไห้ มาหลายแล้วแล้วเรากลัวเลยรองมาปรึกษาเพื่อนๆดูการเปิดบันชีมันต้องเจ้าตัวเปิดเองไม่ใช่หรอคะ?,https://pantip.com/topic/40522118,"Mon, 15 Feb 2021 14:45:26 +0700"
37,กินยาคุมผิดวัน,สวัสดีค่ะ พอดีว่าครบกำหนดต้องเริ่มกินยาแผงใหม่แล้วค่ะ วันนี้เป็นวันจันทร์ค่ะ ปกติจะเริ่มกินวันจันทร์ แต่ดันลืมวันค่ะนึกว่าวันนี้เป็นวันอังคารเลยกินไป2เม็ดเลยค่ะ กินเสร็จปุ้บ! นึกขึ้นได้เลยค่ะว่ากินยาผ,https://pantip.com/topic/40522117,"Mon, 15 Feb 2021 14:45:20 +0700"
38,เข้าสู่ระบบ แอพธนาคารธนาชาตไม่ได้,คือผมเข้าแอปธนาคาเเค่เครืองเดียวอ้ะคับแต่น้องไปลบทิ้ง พอโหลดกลับมาไหม่มันบอกว่า ไม่สามารถ เข้าสู่ระบบได้เนื่องจาก เกินจำนวนที่ระบบรองรับ แบบนี้ต้องทำไงอ้ะคับ เข้าไม่ได้เลย,https://pantip.com/topic/40522116,"Mon, 15 Feb 2021 14:45:10 +0700"
39,ทหารกองทัพสหรัฐถูกจับในข้อหาพยายามช่วย ISIS ทำการซุ่มโจมตีกองทหารสหรัฐฯ,ทหารกองทัพสหรัฐฯถูกจับกุมโดย FBI ในข้อหาพยายามช่วย ISIS วางแผนทำการซุ่มโจมตีกองทหารสหรัฐฯในตะวันออกกลาง และการก่อการร้ายในอเมริกา ทหารม้า (สอดแนม ) Cole James Bridges สังกัด กองทหารราบที่ 3 ตัวเค้าเริ,https://pantip.com/topic/40522115,"Mon, 15 Feb 2021 14:45:04 +0700"
40,"""พี่โมบายล์""ครับ",https://www.instagram.com/p/CLS_8huJseE/?igshid=lvhxcl2l7you,https://pantip.com/topic/40522114,"Mon, 15 Feb 2021 14:44:30 +0700"
